tigrfam	mainrole	sub1role
TIGR00671	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR04567	Transcription	DNA-dependent RNA polymerase
TIGR02704	Central intermediary metabolism	One-carbon metabolism
TIGR02956	Signal transduction	Two-component systems
TIGR01041	Energy metabolism	ATP-proton motive force interconversion
TIGR01476	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR03835	Cellular processes	Chemotaxis and motility
TIGR00910	Transport and binding proteins	Amino acids, peptides and amines
TIGR04466	Cellular processes	Toxin production and resistance
TIGR02135	Regulatory functions	Other
TIGR00874	Energy metabolism	Pentose phosphate pathway
TIGR02236	DNA metabolism	DNA replication, recombination, and repair
TIGR03560	Unknown function	Enzymes of unknown specificity
TIGR01783	Transport and binding proteins	Cations and iron carrying compounds
TIGR01345	Energy metabolism	TCA cycle
TIGR01498	Biosynthesis of cofactors, prosthetic groups, and carriers	Folic acid
TIGR01433	Energy metabolism	Electron transport
TIGR00998	Transport and binding proteins	Other
TIGR02414	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00666	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00856	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR02502	Protein fate	Protein and peptide secretion and trafficking
TIGR03627	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02690	Cellular processes	Detoxification
TIGR01539	Mobile and extrachromosomal element functions	Prophage functions
TIGR03794	Transport and binding proteins	Amino acids, peptides and amines
TIGR00153	Hypothetical proteins	Conserved
TIGR02199	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00968	Transport and binding proteins	Anions
TIGR02866	Energy metabolism	Electron transport
TIGR03597	Protein synthesis	Other
TIGR01840	Fatty acid and phospholipid metabolism	Degradation
TIGR03454	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00836	Transport and binding proteins	Cations and iron carrying compounds
TIGR03660	Cellular processes	Pathogenesis
TIGR00949	Transport and binding proteins	Amino acids, peptides and amines
TIGR02907	Cellular processes	Sporulation and germination
TIGR01556	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00561	Energy metabolism	Electron transport
TIGR01363	Cellular processes	Pathogenesis
TIGR01449	Energy metabolism	Sugars
TIGR03268	Energy metabolism	Methanogenesis
TIGR02736	Energy metabolism	Electron transport
TIGR03552	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR03925	Protein fate	Protein and peptide secretion and trafficking
TIGR02391	Hypothetical proteins	Domain
TIGR00068	Central intermediary metabolism	Amino sugars
TIGR00297	Hypothetical proteins	Conserved
TIGR00706	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00377	Regulatory functions	Protein interactions
TIGR00531	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR01416	Energy metabolism	Electron transport
TIGR03009	Hypothetical proteins	Conserved
TIGR00311	Protein synthesis	Translation factors
TIGR00433	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR01047	Central intermediary metabolism	Polyamine biosynthesis
TIGR01073	DNA metabolism	DNA replication, recombination, and repair
TIGR00614	DNA metabolism	DNA replication, recombination, and repair
TIGR01399	Protein fate	Protein and peptide secretion and trafficking
TIGR00484	Protein synthesis	Translation factors
TIGR00109	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR01084	DNA metabolism	DNA replication, recombination, and repair
TIGR03640	Unknown	Unknown
TIGR04345	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00739	Protein fate	Protein and peptide secretion and trafficking
TIGR02039	Central intermediary metabolism	Sulfur metabolism
TIGR04380	Energy metabolism	Sugars
TIGR04409	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00957	Transport and binding proteins	Other
TIGR00538	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02210	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02283	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR04171	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR01728	Transport and binding proteins	Other
TIGR02108	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02811	Unknown function	General
TIGR00390	Protein fate	Protein folding and stabilization
TIGR02692	Protein synthesis	tRNA and rRNA base modification
TIGR03368	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02123	Transport and binding proteins	Unknown substrate
TIGR03941	Unknown function	General
TIGR03420	DNA metabolism	DNA replication, recombination, and repair
TIGR02393	Transcription	Transcription factors
TIGR03302	Protein fate	Protein and peptide secretion and trafficking
TIGR04166	Energy metabolism	Methanogenesis
TIGR03264	Energy metabolism	Methanogenesis
TIGR00347	Biosynthesis of cofactors, prosthetic groups, and carriers	Biotin
TIGR01044	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01274	Central intermediary metabolism	Other
TIGR01467	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02684	Mobile and extrachromosomal element functions	Other
TIGR02728	Cellular processes	Sporulation and germination
TIGR03725	Protein synthesis	tRNA and rRNA base modification
TIGR00287	Unknown	Unknown
TIGR04507	Cellular processes	Biosynthesis of natural products
TIGR02730	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02635	Energy metabolism	Sugars
TIGR03932	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02062	Transcription	Degradation of RNA
TIGR01088	Amino acid biosynthesis	Aromatic amino acid family
TIGR02367	Protein synthesis	tRNA aminoacylation
TIGR02579	Unknown	Unknown
TIGR02657	Energy metabolism	Electron transport
TIGR01186	Transport and binding proteins	Amino acids, peptides and amines
TIGR04525	Cellular processes	Pathogenesis
TIGR01892	Amino acid biosynthesis	Glutamate family
TIGR01734	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR04545	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR03706	Central intermediary metabolism	Phosphorus compounds
TIGR02674	Unknown	Unknown
TIGR02114	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00339	Central intermediary metabolism	Sulfur metabolism
TIGR00597	DNA metabolism	DNA replication, recombination, and repair
TIGR03438	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR00567	DNA metabolism	DNA replication, recombination, and repair
TIGR01193	Protein fate	Protein and peptide secretion and trafficking
TIGR01703	Cellular processes	Detoxification
TIGR00576	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR03069	Energy metabolism	Photosynthesis
TIGR01766	Mobile and extrachromosomal element functions	Transposon functions
TIGR04069	Cellular processes	Toxin production and resistance
TIGR00336	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00903	Transport and binding proteins	Other
TIGR01136	Amino acid biosynthesis	Serine family
TIGR01724	Unknown function	Enzymes of unknown specificity
TIGR00320	Energy metabolism	Electron transport
TIGR00565	Amino acid biosynthesis	Aromatic amino acid family
TIGR03116	Unknown	Unknown
TIGR01161	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00691	Cellular processes	Adaptations to atypical conditions
TIGR02085	Protein synthesis	tRNA and rRNA base modification
TIGR03903	Cellular processes	Toxin production and resistance
TIGR03779	Cellular processes	DNA transformation
TIGR02089	Energy metabolism	Other
TIGR01212	Unknown function	Enzymes of unknown specificity
TIGR01898	Unknown	Unknown
TIGR00069	Amino acid biosynthesis	Histidine family
TIGR01542	Mobile and extrachromosomal element functions	Prophage functions
TIGR01185	Transport and binding proteins	Other
TIGR00720	Energy metabolism	Amino acids and amines
TIGR00860	Transport and binding proteins	Cations and iron carrying compounds
TIGR00412	Unknown function	General
TIGR00593	DNA metabolism	DNA replication, recombination, and repair
TIGR03242	Energy metabolism	Amino acids and amines
TIGR03213	Energy metabolism	Other
TIGR00684	Protein fate	Protein folding and stabilization
TIGR01745	Amino acid biosynthesis	Aspartate family
TIGR02423	Energy metabolism	Other
TIGR02081	Amino acid biosynthesis	Aspartate family
TIGR03218	Energy metabolism	Other
TIGR00464	Protein synthesis	tRNA aminoacylation
TIGR00882	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01163	Energy metabolism	Pentose phosphate pathway
TIGR04282	Unknown function	Enzymes of unknown specificity
TIGR02424	Energy metabolism	Other
TIGR00490	Protein synthesis	Translation factors
TIGR03399	Transcription	RNA processing
TIGR01173	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR00222	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR04542	Unknown function	Enzymes of unknown specificity
TIGR00778	Unknown function	General
TIGR00849	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03704	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02032	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR02598	Cell envelope	Surface structures
TIGR00143	Protein fate	Protein modification and repair
TIGR02856	Cellular processes	Sporulation and germination
TIGR03486	Unknown	Unknown
TIGR03260	Energy metabolism	Methanogenesis
TIGR00622	DNA metabolism	DNA replication, recombination, and repair
TIGR01043	Energy metabolism	ATP-proton motive force interconversion
TIGR00661	Hypothetical proteins	Conserved
TIGR01633	Mobile and extrachromosomal element functions	Prophage functions
TIGR04379	Energy metabolism	Sugars
TIGR01006	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00881	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02388	Transcription	DNA-dependent RNA polymerase
TIGR02882	Energy metabolism	Electron transport
TIGR03008	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00251	Hypothetical proteins	Conserved
TIGR03812	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00065	Cellular processes	Cell division
TIGR01688	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02520	Cell envelope	Surface structures
TIGR02425	Energy metabolism	Other
TIGR01437	Unknown function	Enzymes of unknown specificity
TIGR01976	Unknown function	Enzymes of unknown specificity
TIGR00269	Hypothetical proteins	Conserved
TIGR02978	Cellular processes	Adaptations to atypical conditions
TIGR04021	Central intermediary metabolism	Sulfur metabolism
TIGR00018	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR00810	Protein fate	Protein and peptide secretion and trafficking
TIGR00931	Transport and binding proteins	Cations and iron carrying compounds
TIGR03897	Cellular processes	Toxin production and resistance
TIGR03043	Energy metabolism	Photosynthesis
TIGR02222	Protein fate	Protein folding and stabilization
TIGR00275	Unknown function	Enzymes of unknown specificity
TIGR00131	Energy metabolism	Sugars
TIGR00088	Protein synthesis	tRNA and rRNA base modification
TIGR00302	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR04151	Protein fate	Protein and peptide secretion and trafficking
TIGR00293	Protein fate	Protein folding and stabilization
TIGR02807	Unknown	Unknown
TIGR02483	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00554	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR04060	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01183	Transport and binding proteins	Anions
TIGR01266	Energy metabolism	Amino acids and amines
TIGR02127	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00813	Transport and binding proteins	Cations and iron carrying compounds
TIGR01481	Regulatory functions	DNA interactions
TIGR00487	Protein synthesis	Translation factors
TIGR02962	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01533	Transport and binding proteins	Other
TIGR00552	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR03849	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00126	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR01512	Transport and binding proteins	Cations and iron carrying compounds
TIGR04093	Unknown	Unknown
TIGR00236	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR03265	Transport and binding proteins	Amino acids, peptides and amines
TIGR03922	Protein fate	Protein and peptide secretion and trafficking
TIGR04047	Unknown function	Enzymes of unknown specificity
TIGR02689	Cellular processes	Detoxification
TIGR02480	Cellular processes	Chemotaxis and motility
TIGR00499	Protein synthesis	tRNA aminoacylation
TIGR00250	Unknown function	General
TIGR01506	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR02580	Unknown	Unknown
TIGR04383	Cell envelope	Surface structures
TIGR02896	Cellular processes	Sporulation and germination
TIGR02069	Energy metabolism	Other
TIGR01914	Unknown	Unknown
TIGR03346	Protein fate	Protein folding and stabilization
TIGR03782	Cellular processes	DNA transformation
TIGR00075	Protein fate	Protein modification and repair
TIGR00878	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR04334	Protein fate	Protein modification and repair
TIGR04361	Mobile and extrachromosomal element functions	Plasmid functions
TIGR03117	Unknown	Unknown
TIGR03712	Protein fate	Protein and peptide secretion and trafficking
TIGR02203	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01349	Energy metabolism	Pyruvate dehydrogenase
TIGR00700	Central intermediary metabolism	Other
TIGR00655	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR01881	Unknown	Unknown
TIGR02914	Transport and binding proteins	Unknown substrate
TIGR03369	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR04070	DNA metabolism	DNA replication, recombination, and repair
TIGR00713	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR04043	Unknown function	Enzymes of unknown specificity
TIGR01593	Protein fate	Protein and peptide secretion and trafficking
TIGR03362	Protein fate	Protein and peptide secretion and trafficking
TIGR00235	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR02068	Cellular processes	Biosynthesis of natural products
TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02445	Fatty acid and phospholipid metabolism	Degradation
TIGR02516	Protein fate	Protein and peptide secretion and trafficking
TIGR02834	Cellular processes	Sporulation and germination
TIGR02618	Energy metabolism	Amino acids and amines
TIGR02354	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR01271	Transport and binding proteins	Anions
TIGR01804	Cellular processes	Adaptations to atypical conditions
TIGR03771	Transport and binding proteins	Unknown substrate
TIGR03493	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01373	Energy metabolism	Amino acids and amines
TIGR01890	Amino acid biosynthesis	Glutamate family
TIGR01377	Energy metabolism	Amino acids and amines
TIGR00906	Transport and binding proteins	Amino acids, peptides and amines
TIGR01020	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01434	Biosynthesis of cofactors, prosthetic groups, and carriers	Glutathione and analogs
TIGR02792	Energy metabolism	Aerobic
TIGR02647	Hypothetical proteins	Conserved
TIGR03676	Protein synthesis	Translation factors
TIGR00883	Transport and binding proteins	Unknown substrate
TIGR03953	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02159	Energy metabolism	Other
TIGR00674	Amino acid biosynthesis	Aspartate family
TIGR01368	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR03811	Cellular processes	Adaptations to atypical conditions
TIGR03146	Energy metabolism	Electron transport
TIGR00495	Unknown function	General
TIGR03002	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02181	Energy metabolism	Electron transport
TIGR03571	Unknown function	Enzymes of unknown specificity
TIGR01932	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01660	Energy metabolism	Anaerobic
TIGR00142	Protein fate	Protein modification and repair
TIGR01356	Amino acid biosynthesis	Aromatic amino acid family
TIGR00198	Cellular processes	Detoxification
TIGR00325	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01396	Cellular processes	Chemotaxis and motility
TIGR00704	Transport and binding proteins	Cations and iron carrying compounds
TIGR00734	Unknown function	General
TIGR01205	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02694	Energy metabolism	Electron transport
TIGR00521	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR01241	Cellular processes	Cell division
TIGR01511	Cellular processes	Detoxification
TIGR02862	Cellular processes	Sporulation and germination
TIGR00796	Transport and binding proteins	Amino acids, peptides and amines
TIGR01414	Protein fate	Protein and peptide secretion and trafficking
TIGR01726	Transport and binding proteins	Amino acids, peptides and amines
TIGR00234	Protein synthesis	tRNA aminoacylation
TIGR01332	Energy metabolism	Photosynthesis
TIGR03641	Unknown	Unknown
TIGR02543	Unknown function	General
TIGR00524	Unknown function	General
TIGR00420	Protein synthesis	tRNA and rRNA base modification
TIGR00867	Transport and binding proteins	Cations and iron carrying compounds
TIGR02043	Regulatory functions	DNA interactions
TIGR00602	DNA metabolism	DNA replication, recombination, and repair
TIGR04504	Unknown function	Enzymes of unknown specificity
TIGR03933	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02493	Energy metabolism	Anaerobic
TIGR00004	Cellular processes	Other
TIGR03781	Cellular processes	DNA transformation
TIGR00370	Hypothetical proteins	Conserved
TIGR00242	Cellular processes	Cell division
TIGR00471	Protein synthesis	tRNA aminoacylation
TIGR03406	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01223	Central intermediary metabolism	Other
TIGR04048	Unknown function	Enzymes of unknown specificity
TIGR00527	Energy metabolism	Amino acids and amines
TIGR00740	Unknown function	Enzymes of unknown specificity
TIGR00885	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01507	Fatty acid and phospholipid metabolism	Other
TIGR04012	Cell envelope	Other
TIGR03964	Unknown function	Enzymes of unknown specificity
TIGR03562	Cellular processes	Detoxification
TIGR03950	Energy metabolism	Electron transport
TIGR00686	Unknown function	General
TIGR00391	Energy metabolism	Electron transport
TIGR02322	Central intermediary metabolism	Phosphorus compounds
TIGR02806	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00104	Unknown function	Enzymes of unknown specificity
TIGR02700	Unknown function	General
TIGR02864	Cellular processes	Sporulation and germination
TIGR00648	DNA metabolism	DNA replication, recombination, and repair
TIGR00815	Transport and binding proteins	Anions
TIGR00253	Unknown function	General
TIGR01016	Energy metabolism	TCA cycle
TIGR01357	Amino acid biosynthesis	Aromatic amino acid family
TIGR01490	Unknown function	Enzymes of unknown specificity
TIGR00653	Amino acid biosynthesis	Glutamate family
TIGR01937	Transport and binding proteins	Cations and iron carrying compounds
TIGR00500	Protein fate	Protein modification and repair
TIGR02702	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00672	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02470	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01402	Cellular processes	Chemotaxis and motility
TIGR01285	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR02091	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR02693	Energy metabolism	Electron transport
TIGR04498	Unknown	Unknown
TIGR04441	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00972	Transport and binding proteins	Anions
TIGR00288	Hypothetical proteins	Conserved
TIGR00663	DNA metabolism	DNA replication, recombination, and repair
TIGR01515	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01401	Protein fate	Protein and peptide secretion and trafficking
TIGR03770	Transport and binding proteins	Unknown substrate
TIGR00829	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR04396	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01953	Transcription	Transcription factors
TIGR00291	Protein synthesis	Other
TIGR04036	Unknown function	Enzymes of unknown specificity
TIGR02823	Unknown function	Enzymes of unknown specificity
TIGR02386	Transcription	DNA-dependent RNA polymerase
TIGR01687	Biosynthesis of cofactors, prosthetic groups, and carriers	Molybdopterin
TIGR04399	Protein fate	Protein and peptide secretion and trafficking
TIGR00175	Energy metabolism	TCA cycle
TIGR00540	Unknown function	General
TIGR01052	DNA metabolism	DNA replication, recombination, and repair
TIGR00502	Central intermediary metabolism	Amino sugars
TIGR02565	Unknown	Unknown
TIGR01513	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridine nucleotides
TIGR00516	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR01955	Transcription	Transcription factors
TIGR03551	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00050	Protein synthesis	tRNA and rRNA base modification
TIGR03257	Energy metabolism	Methanogenesis
TIGR01709	Protein fate	Protein and peptide secretion and trafficking
TIGR04078	Regulatory functions	Protein interactions
TIGR01091	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00542	Energy metabolism	Sugars
TIGR02581	Unknown	Unknown
TIGR00481	Unknown function	General
TIGR02829	Cellular processes	Sporulation and germination
TIGR02083	Amino acid biosynthesis	Pyruvate family
TIGR00071	Protein synthesis	tRNA and rRNA base modification
TIGR02122	Transport and binding proteins	Unknown substrate
TIGR03945	Cellular processes	Biosynthesis of natural products
TIGR02726	Energy metabolism	Anaerobic
TIGR02794	Transport and binding proteins	Other
TIGR01120	Energy metabolism	Pentose phosphate pathway
TIGR03339	Regulatory functions	DNA interactions
TIGR01272	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02170	Purines, pyrimidines, nucleosides, and nucleotides	2'-Deoxyribonucleotide metabolism
TIGR04050	Unknown function	Enzymes of unknown specificity
TIGR03567	Central intermediary metabolism	Sulfur metabolism
TIGR00555	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR02786	DNA metabolism	DNA replication, recombination, and repair
TIGR01442	Cellular processes	Sporulation and germination
TIGR02584	Unknown	Unknown
TIGR04492	Cellular processes	Biosynthesis of natural products
TIGR00155	Unknown function	General
TIGR02855	Cellular processes	Sporulation and germination
TIGR03330	Central intermediary metabolism	Polyamine biosynthesis
TIGR00367	Unknown function	General
TIGR02270	Hypothetical proteins	Conserved
TIGR03711	Protein fate	Protein and peptide secretion and trafficking
TIGR00870	Transport and binding proteins	Cations and iron carrying compounds
TIGR03647	Transport and binding proteins	Unknown substrate
TIGR02582	Unknown	Unknown
TIGR01400	Cellular processes	Chemotaxis and motility
TIGR02995	Transport and binding proteins	Amino acids, peptides and amines
TIGR00042	DNA metabolism	DNA replication, recombination, and repair
TIGR01060	Energy metabolism	Glycolysis/gluconeogenesis
TIGR00456	Protein synthesis	tRNA aminoacylation
TIGR00950	Transport and binding proteins	Amino acids, peptides and amines
TIGR01013	Transport and binding proteins	Cations and iron carrying compounds
TIGR00876	Energy metabolism	Pentose phosphate pathway
TIGR01247	Transport and binding proteins	Other
TIGR02017	Energy metabolism	Amino acids and amines
TIGR03060	Energy metabolism	Photosynthesis
TIGR00348	DNA metabolism	Restriction/modification
TIGR04479	Cellular processes	Toxin production and resistance
TIGR01069	DNA metabolism	Other
TIGR00933	Transport and binding proteins	Cations and iron carrying compounds
TIGR02405	Regulatory functions	DNA interactions
TIGR01055	DNA metabolism	DNA replication, recombination, and repair
TIGR00649	Transcription	Degradation of RNA
TIGR01964	Energy metabolism	Photosynthesis
TIGR03893	Cellular processes	Toxin production and resistance
TIGR02003	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01869	Unknown	Unknown
TIGR00497	DNA metabolism	Restriction/modification
TIGR01061	DNA metabolism	DNA replication, recombination, and repair
TIGR02735	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR02431	Regulatory functions	DNA interactions
TIGR01038	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02754	Cellular processes	Detoxification
TIGR00083	Biosynthesis of cofactors, prosthetic groups, and carriers	Riboflavin, FMN, and FAD
TIGR00053	Cellular processes	Adaptations to atypical conditions
TIGR02893	Cellular processes	Sporulation and germination
TIGR04360	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00284	Unknown function	General
TIGR03988	Transcription	Transcription factors
TIGR02908	Energy metabolism	Electron transport
TIGR04053	Unknown function	Enzymes of unknown specificity
TIGR03632	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01979	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00418	Protein synthesis	tRNA aminoacylation
TIGR00592	DNA metabolism	DNA replication, recombination, and repair
TIGR00951	Transport and binding proteins	Amino acids, peptides and amines
TIGR00411	Unknown function	General
TIGR02093	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR03380	Central intermediary metabolism	Polyamine biosynthesis
TIGR00690	Transcription	DNA-dependent RNA polymerase
TIGR03687	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01189	Protein fate	Protein and peptide secretion and trafficking
TIGR02876	Cellular processes	Sporulation and germination
TIGR02554	Protein fate	Protein and peptide secretion and trafficking
TIGR03408	Transport and binding proteins	Amino acids, peptides and amines
TIGR02352	Biosynthesis of cofactors, prosthetic groups, and carriers	Thiamine
TIGR02963	Purines, pyrimidines, nucleosides, and nucleotides	Other
TIGR03221	Energy metabolism	Other
TIGR00969	Transport and binding proteins	Anions
TIGR00510	Biosynthesis of cofactors, prosthetic groups, and carriers	Lipoate
TIGR02900	Cellular processes	Sporulation and germination
TIGR00448	Transcription	DNA-dependent RNA polymerase
TIGR01588	Energy metabolism	Fermentation
TIGR02334	Energy metabolism	Fermentation
TIGR01062	DNA metabolism	DNA replication, recombination, and repair
TIGR00090	Protein synthesis	Translation factors
TIGR01182	Amino acid biosynthesis	Glutamate family
TIGR00783	Unclassified	Role category not yet assigned
TIGR01338	Energy metabolism	Photosynthesis
TIGR03636	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00916	Protein fate	Protein and peptide secretion and trafficking
TIGR02457	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR03577	Hypothetical proteins	Conserved
TIGR00060	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02394	Cellular processes	Adaptations to atypical conditions
TIGR02617	Energy metabolism	Amino acids and amines
TIGR02785	DNA metabolism	DNA replication, recombination, and repair
TIGR01353	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR01654	Cellular processes	Toxin production and resistance
TIGR03629	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02375	Energy metabolism	Electron transport
TIGR01057	DNA metabolism	DNA replication, recombination, and repair
TIGR03426	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01943	Energy metabolism	Electron transport
TIGR00945	Protein fate	Protein and peptide secretion and trafficking
TIGR02642	Mobile and extrachromosomal element functions	Prophage functions
TIGR00837	Transport and binding proteins	Amino acids, peptides and amines
TIGR01714	Mobile and extrachromosomal element functions	Prophage functions
TIGR00073	Protein fate	Protein modification and repair
TIGR02619	Unknown	Unknown
TIGR00457	Protein synthesis	tRNA aminoacylation
TIGR00150	Protein synthesis	tRNA and rRNA base modification
TIGR01600	Mobile and extrachromosomal element functions	Prophage functions
TIGR00465	Amino acid biosynthesis	Pyruvate family
